"","Region","Fecha","Total","Total.1","Casos_Nuevos","Casos_Acumulados","Casos_Nuevos_Semana"
"775","Ñuble",2020-05-09,7,801,7,801,25
"776","Ñuble",2020-05-10,11,812,11,812,26
"777","Ñuble",2020-05-11,2,814,2,814,27
"778","Ñuble",2020-05-12,12,826,12,826,37
"779","Ñuble",2020-05-13,13,839,13,839,48
"780","Ñuble",2020-05-14,10,849,10,849,56
"781","Ñuble",2020-05-15,36,885,36,885,91
"782","Ñuble",2020-05-16,36,921,36,921,120
"783","Ñuble",2020-05-17,21,942,21,942,130
"784","Ñuble",2020-05-18,43,985,43,985,171
"785","Ñuble",2020-05-19,3,988,3,988,162
"786","Ñuble",2020-05-20,23,1011,23,1011,172
"787","Ñuble",2020-05-21,9,1020,9,1020,171
"788","Ñuble",2020-05-22,5,1025,5,1025,140
"789","Ñuble",2020-05-23,52,1077,52,1077,156
"790","Ñuble",2020-05-24,25,1102,25,1102,160
"791","Ñuble",2020-05-25,37,1139,37,1139,154
"792","Ñuble",2020-05-26,8,1147,8,1147,159
"793","Ñuble",2020-05-27,27,1174,27,1174,163
"794","Ñuble",2020-05-28,31,1205,31,1205,185
"795","Ñuble",2020-05-29,37,1242,37,1242,217
"796","Ñuble",2020-05-30,14,1256,14,1256,179
"797","Ñuble",2020-05-31,1,1257,1,1257,155
"798","Ñuble",2020-06-01,33,1290,33,1290,151
"799","Ñuble",2020-06-02,0,1290,0,1290,143
"800","O’Higgins",2020-03-31,2,23,2,23,14
"801","O’Higgins",2020-04-01,3,26,3,26,15
"802","O’Higgins",2020-04-02,6,32,6,32,18
"803","O’Higgins",2020-04-03,1,33,1,33,17
"804","O’Higgins",2020-04-04,5,38,5,38,18
"805","O’Higgins",2020-04-05,3,41,3,41,20
"806","O’Higgins",2020-04-06,1,42,1,42,21
"807","O’Higgins",2020-04-07,0,42,0,42,19
"808","O’Higgins",2020-04-08,1,43,1,43,17
"809","O’Higgins",2020-04-09,1,44,1,44,12
"810","O’Higgins",2020-04-10,0,44,0,44,11
"811","O’Higgins",2020-04-11,1,45,1,45,7
"812","O’Higgins",2020-04-12,1,46,1,46,5
"813","O’Higgins",2020-04-13,2,48,2,48,6
"814","O’Higgins",2020-04-14,5,53,5,53,11
"815","O’Higgins",2020-04-15,1,54,1,54,11
"816","O’Higgins",2020-04-16,0,54,0,54,10
"817","O’Higgins",2020-04-17,1,55,1,55,11
"818","O’Higgins",2020-04-18,0,55,0,55,10
"819","O’Higgins",2020-04-19,0,55,0,55,9
"820","O’Higgins",2020-04-20,1,56,1,56,8
"821","O’Higgins",2020-04-21,1,57,1,57,4
"822","O’Higgins",2020-04-22,2,59,2,59,5
"823","O’Higgins",2020-04-23,17,76,17,76,22
"824","O’Higgins",2020-04-24,5,81,5,81,26
"825","O’Higgins",2020-04-25,4,85,4,85,30
"826","O’Higgins",2020-04-26,7,92,7,92,37
"827","O’Higgins",2020-04-27,2,94,2,94,38
"828","O’Higgins",2020-04-28,3,97,3,97,40
"829","O’Higgins",2020-04-29,7,104,7,104,45
"830","O’Higgins",2020-04-30,4,108,4,108,32
"831","O’Higgins",2020-05-01,1,109,1,109,28
"832","O’Higgins",2020-05-02,11,120,11,120,35
"833","O’Higgins",2020-05-03,5,125,5,125,33
"834","O’Higgins",2020-05-04,6,131,6,131,37
"835","O’Higgins",2020-05-05,5,136,5,136,39
"836","O’Higgins",2020-05-06,9,145,9,145,41
"837","O’Higgins",2020-05-07,6,151,6,151,43
"838","O’Higgins",2020-05-08,16,167,16,167,58
"839","O’Higgins",2020-05-09,15,182,15,182,62
"840","O’Higgins",2020-05-10,13,195,13,195,70
"841","O’Higgins",2020-05-11,21,216,21,216,85
"842","O’Higgins",2020-05-12,8,224,8,224,88
"843","O’Higgins",2020-05-13,24,248,24,248,103
"844","O’Higgins",2020-05-14,47,295,47,295,144
"845","O’Higgins",2020-05-15,28,323,28,323,156
"846","O’Higgins",2020-05-16,6,329,6,329,147
"847","O’Higgins",2020-05-17,37,366,37,366,171
"848","O’Higgins",2020-05-18,52,418,52,418,202
"849","O’Higgins",2020-05-19,24,442,24,442,218
"850","O’Higgins",2020-05-20,13,455,13,455,207
"851","O’Higgins",2020-05-21,10,465,10,465,170
"852","O’Higgins",2020-05-22,27,492,27,492,169
"853","O’Higgins",2020-05-23,26,518,26,518,189
"854","O’Higgins",2020-05-24,36,554,36,554,188
"855","O’Higgins",2020-05-25,34,588,34,588,170
"856","O’Higgins",2020-05-26,66,654,66,654,212
"857","O’Higgins",2020-05-27,37,691,37,691,236
"858","O’Higgins",2020-05-28,14,705,14,705,240
"859","O’Higgins",2020-05-29,40,745,40,745,253
"860","O’Higgins",2020-05-30,11,756,11,756,238
"861","O’Higgins",2020-05-31,29,785,29,785,231
"862","O’Higgins",2020-06-01,28,813,28,813,225
"863","O’Higgins",2020-06-02,30,843,30,843,189
"864","Tarapacá",2020-04-06,1,21,1,21,13
"865","Tarapacá",2020-04-07,2,23,2,23,13
"866","Tarapacá",2020-04-08,3,26,3,26,16
"867","Tarapacá",2020-04-09,3,29,3,29,17
"868","Tarapacá",2020-04-10,6,35,6,35,22
"869","Tarapacá",2020-04-11,3,38,3,38,21
"870","Tarapacá",2020-04-12,8,46,8,46,26
"871","Tarapacá",2020-04-13,6,52,6,52,31
"872","Tarapacá",2020-04-14,10,62,10,62,39
"873","Tarapacá",2020-04-15,0,62,0,62,36
"874","Tarapacá",2020-04-16,4,66,4,66,37
"875","Tarapacá",2020-04-17,7,73,7,73,38
"876","Tarapacá",2020-04-18,8,81,8,81,43
"877","Tarapacá",2020-04-19,9,90,9,90,44
"878","Tarapacá",2020-04-20,3,93,3,93,41
"879","Tarapacá",2020-04-21,11,104,11,104,42
"880","Tarapacá",2020-04-22,10,114,10,114,52
"881","Tarapacá",2020-04-23,14,128,14,128,62
"882","Tarapacá",2020-04-24,6,134,6,134,61
"883","Tarapacá",2020-04-25,9,143,9,143,62
"884","Tarapacá",2020-04-26,13,156,13,156,66
"885","Tarapacá",2020-04-27,8,164,8,164,71
"886","Tarapacá",2020-04-28,5,169,5,169,65
"887","Tarapacá",2020-04-29,14,183,14,183,69
"888","Tarapacá",2020-04-30,15,198,15,198,70
"889","Tarapacá",2020-05-01,2,200,2,200,66
"890","Tarapacá",2020-05-02,12,212,12,212,69
"891","Tarapacá",2020-05-03,60,272,60,272,116
"892","Tarapacá",2020-05-04,23,295,23,295,131
"893","Tarapacá",2020-05-05,27,322,27,322,153
"894","Tarapacá",2020-05-06,17,339,17,339,156
"895","Tarapacá",2020-05-07,78,417,78,417,219
"896","Tarapacá",2020-05-08,42,459,42,459,259
"897","Tarapacá",2020-05-09,26,485,26,485,273
"898","Tarapacá",2020-05-10,35,520,35,520,248
"899","Tarapacá",2020-05-11,27,547,27,547,252
"900","Tarapacá",2020-05-12,31,578,31,578,256
"901","Tarapacá",2020-05-13,37,615,37,615,276
"902","Tarapacá",2020-05-14,67,682,67,682,265
"903","Tarapacá",2020-05-15,97,779,97,779,320
"904","Tarapacá",2020-05-16,66,845,66,845,360
"905","Tarapacá",2020-05-17,130,975,130,975,455
"906","Tarapacá",2020-05-18,81,1056,81,1056,509
"907","Tarapacá",2020-05-19,53,1109,53,1109,531
"908","Tarapacá",2020-05-20,30,1139,30,1139,524
"909","Tarapacá",2020-05-21,107,1246,107,1246,564
"910","Tarapacá",2020-05-22,147,1393,147,1393,614
"911","Tarapacá",2020-05-23,78,1471,78,1471,626
"912","Tarapacá",2020-05-24,93,1564,93,1564,589
"913","Tarapacá",2020-05-25,66,1630,66,1630,574
"914","Tarapacá",2020-05-26,107,1737,107,1737,628
"915","Tarapacá",2020-05-27,74,1811,74,1811,672
"916","Tarapacá",2020-05-28,146,1957,146,1957,711
"917","Tarapacá",2020-05-29,136,2093,136,2093,700
"918","Tarapacá",2020-05-30,157,2250,157,2250,779
"919","Tarapacá",2020-05-31,111,2361,111,2361,797
"920","Tarapacá",2020-06-01,165,2526,165,2526,896
"921","Tarapacá",2020-06-02,68,2594,68,2594,857
"922","Valparaíso",2020-03-27,5,49,5,49,44
"923","Valparaíso",2020-03-28,22,71,22,71,58
"924","Valparaíso",2020-03-29,9,80,9,80,64
"925","Valparaíso",2020-03-30,28,108,28,108,89
"926","Valparaíso",2020-03-31,7,115,7,115,90
"927","Valparaíso",2020-04-01,21,136,21,136,104
"928","Valparaíso",2020-04-02,20,156,20,156,112
"929","Valparaíso",2020-04-03,20,176,20,176,127
"930","Valparaíso",2020-04-04,9,185,9,185,114
"931","Valparaíso",2020-04-05,6,191,6,191,111
"932","Valparaíso",2020-04-06,7,198,7,198,90
"933","Valparaíso",2020-04-07,16,214,16,214,99
"934","Valparaíso",2020-04-08,11,225,11,225,89
"935","Valparaíso",2020-04-09,5,230,5,230,74
"936","Valparaíso",2020-04-10,11,241,11,241,65
"937","Valparaíso",2020-04-11,7,248,7,248,63
"938","Valparaíso",2020-04-12,6,254,6,254,63
"939","Valparaíso",2020-04-13,19,273,19,273,75
"940","Valparaíso",2020-04-14,12,285,12,285,71
"941","Valparaíso",2020-04-15,14,299,14,299,74
"942","Valparaíso",2020-04-16,31,330,31,330,100
"943","Valparaíso",2020-04-17,15,345,15,345,104
"944","Valparaíso",2020-04-18,14,359,14,359,111
"945","Valparaíso",2020-04-19,22,381,22,381,127
"946","Valparaíso",2020-04-20,7,388,7,388,115
"947","Valparaíso",2020-04-21,15,403,15,403,118
"948","Valparaíso",2020-04-22,18,421,18,421,122
"949","Valparaíso",2020-04-23,8,429,8,429,99
"950","Valparaíso",2020-04-24,7,436,7,436,91
"951","Valparaíso",2020-04-25,18,454,18,454,95
"952","Valparaíso",2020-04-26,6,460,6,460,79
"953","Valparaíso",2020-04-27,25,485,25,485,97
"954","Valparaíso",2020-04-28,8,493,8,493,90
"955","Valparaíso",2020-04-29,33,526,33,526,105
"956","Valparaíso",2020-04-30,33,559,33,559,130
"957","Valparaíso",2020-05-01,9,568,9,568,132
"958","Valparaíso",2020-05-02,46,614,46,614,160
"959","Valparaíso",2020-05-03,24,638,24,638,178
"960","Valparaíso",2020-05-04,18,656,18,656,171
"961","Valparaíso",2020-05-05,31,687,31,687,194
"962","Valparaíso",2020-05-06,29,716,29,716,190
"963","Valparaíso",2020-05-07,65,781,65,781,222
"964","Valparaíso",2020-05-08,47,828,47,828,260
"965","Valparaíso",2020-05-09,50,878,50,878,264
"966","Valparaíso",2020-05-10,55,933,55,933,295
"967","Valparaíso",2020-05-11,37,970,37,970,314
"968","Valparaíso",2020-05-12,59,1029,59,1029,342
"969","Valparaíso",2020-05-13,94,1123,94,1123,407
"970","Valparaíso",2020-05-14,90,1213,90,1213,432
"971","Valparaíso",2020-05-15,99,1312,99,1312,484
"972","Valparaíso",2020-05-16,53,1365,53,1365,487
"973","Valparaíso",2020-05-17,109,1474,109,1474,541
"974","Valparaíso",2020-05-18,79,1553,79,1553,583
"975","Valparaíso",2020-05-19,86,1639,86,1639,610
"976","Valparaíso",2020-05-20,131,1770,131,1770,647
"977","Valparaíso",2020-05-21,117,1887,117,1887,674
"978","Valparaíso",2020-05-22,133,2020,133,2020,708
"979","Valparaíso",2020-05-23,96,2116,96,2116,751
"980","Valparaíso",2020-05-24,114,2230,114,2230,756
"981","Valparaíso",2020-05-25,75,2305,75,2305,752
"982","Valparaíso",2020-05-26,150,2455,150,2455,816
"983","Valparaíso",2020-05-27,121,2576,121,2576,806
"984","Valparaíso",2020-05-28,154,2730,154,2730,843
"985","Valparaíso",2020-05-29,112,2842,112,2842,822
"986","Valparaíso",2020-05-30,195,3037,195,3037,921
"987","Valparaíso",2020-05-31,130,3167,130,3167,937
"988","Valparaíso",2020-06-01,181,3348,181,3348,1043
"989","Valparaíso",2020-06-02,247,3595,247,3595,1140
